timestamp,car,bus,truck
2025-09-09 03:12:51.315527,2,1,1
2025-09-09 03:45:16.031259,12,2
2025-10-16 03:42:35.614831,3
2025-10-16 03:42:44.958026,1,3
2025-10-16 04:05:22.136004,2,1,1
2025-10-16 04:05:29.640286,2,1,1
2025-10-16 04:06:06.825386,2,1,1
2025-10-16 04:06:21.541980,2,1,1
2025-10-16 04:06:30.862096,2,1,1
2025-10-16 04:06:32.034252,2,1,1
2025-10-16 04:06:40.432515,2,1,1
2025-10-16 04:06:45.813084,2,1,1
